CO2_unit,CO2_value,Consumption_unit,Consumption_value,Engine_Load_unit,Engine_Load_value,GPS_Accuracy_unit,GPS_Accuracy_value,GPS_Altitude_unit,GPS_Altitude_value,GPS_Bearing_unit,GPS_Bearing_value,GPS_HDOP_unit,GPS_HDOP_value,GPS_PDOP_unit,GPS_PDOP_value,GPS_Speed_unit,GPS_Speed_value,GPS_VDOP_unit,GPS_VDOP_value,Intake_Pressure_unit,Intake_Pressure_value,Intake_Temperature_unit,Intake_Temperature_value,MAF_unit,MAF_value,O2_Lambda_Voltage_ER_unit,O2_Lambda_Voltage_ER_value,O2_Lambda_Voltage_unit,O2_Lambda_Voltage_value,Rpm_unit,Rpm_value,Speed_unit,Speed_value,Throttle_Position_unit,Throttle_Position_value,coordinates,id,properties_constructionYear,properties_engineDisplacement,properties_fuelType,properties_id,properties_manufacturer,properties_model,time,track,type
kg/h,4.18664921101,l/h,1.78155285575,%,20.0916834265,%,8.00000011921,m,57.4878667089,,,precision,1.5,precision,3.3,km/h,0.0,precision,2.9,kPa,33.9999994934,c,29.9999991059,l/s,5.41963224992,ratio,0.990397270209,V,1.45216818099,u/min,782.9921875,km/h,0.0,%,6.12765973806,"[6.4847174678758375, 51.22546715521443]",579634f9e4b086b281bf935e,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:06:44Z,579634f9e4b086b281bf935c,Point
kg/h,5.13537941352,l/h,2.18526783554,%,15.3565231629,%,8.0,m,62.5686506549,deg,299.503112793,precision,1.5,precision,3.3,km/h,13.3919469923,precision,2.9,kPa,28.6722283959,c,30.0,l/s,6.64776686137,ratio,1.00001813846,V,1.51370051461,u/min,1597.73704636,km/h,12.5615234375,%,5.00000003725,"[6.484647742341846, 51.22555184174763]",579634f9e4b086b281bf9360,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:06:49Z,579634f9e4b086b281bf935c,Point
kg/h,2.91210126718,l/h,1.23919202859,%,20.6087656726,%,8.98997998238,m,73.2947722262,deg,293.727508545,precision,1.5000000447,precision,3.30000009835,km/h,0.0,precision,2.90000008643,kPa,33.444119513,c,30.9999995381,l/s,3.76972541696,ratio,0.995665433118,V,1.47139699839,u/min,782.326848269,km/h,0.0,%,4.0000000596,"[6.484544153226476, 51.22560033085013]",579634f9e4b086b281bf9361,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:06:54Z,579634f9e4b086b281bf935c,Point
kg/h,2.88041775426,l/h,1.22570968267,%,20.7843132019,%,8.00000011921,m,83.6043034161,deg,293.727512922,precision,1.3,precision,2.3,km/h,0.0,precision,1.9,kPa,34.0000010133,c,30.9999995092,l/s,3.72871099714,ratio,0.996439257084,V,1.4777648446,u/min,782.316368088,km/h,0.0,%,4.00000011921,"[6.484544249853713, 51.22560109417106]",579634f9e4b086b281bf9362,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:06:59Z,579634f9e4b086b281bf935c,Point
kg/h,2.90094824555,l/h,1.23444606194,%,19.9189946771,%,8.0,m,85.8861632969,deg,293.727508545,precision,1.3,precision,2.3,km/h,0.0,precision,1.9,kPa,34.0000010133,c,30.9999993071,l/s,3.75528779092,ratio,0.993836236477,V,1.46708438493,u/min,788.640764982,km/h,0.0,%,4.00000011921,"[6.4845441532264765, 51.225600330850135]",579634f9e4b086b281bf9363,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:04Z,579634f9e4b086b281bf935c,Point
kg/h,30.4762672087,l/h,12.9686243441,%,66.4270598385,%,8.0,m,86.6250754539,deg,293.727508545,precision,1.10000003278,precision,2.30000006855,km/h,0.0,precision,2.0000000596,kPa,87.4078333676,c,30.1123710573,l/s,39.4516359735,ratio,0.968311751378,V,1.38740901428,u/min,2602.48520687,km/h,6.02865338698,%,29.0225715637,"[6.484555810101085, 51.22559954774457]",579634f9e4b086b281bf9364,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:09Z,579634f9e4b086b281bf935c,Point
kg/h,31.3952883367,l/h,13.3596971645,%,75.1435007812,%,7.99999976158,m,88.3170580728,deg,216.81329771,precision,1.1,precision,2.2,km/h,22.4942043908,precision,1.9,kPa,93.215215914,c,29.21063146,l/s,40.6413120826,ratio,0.998794010142,V,1.49686881545,u/min,2321.77998172,km/h,32.4866727591,%,22.4477766156,"[6.484451945728289, 51.22547374147195]",579634f9e4b086b281bf9365,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:14Z,579634f9e4b086b281bf935c,Point
kg/h,17.2726457029,l/h,7.35006200124,%,47.6873760614,%,8.00000023842,m,91.6955114333,deg,211.510230482,precision,1.1,precision,2.2,km/h,42.219371314,precision,1.9,kPa,66.5204777867,c,29.0,l/s,22.3595011129,ratio,1.00409328123,V,1.51602675163,u/min,2181.53428543,km/h,46.4894230962,%,11.5893223882,"[6.483999774156139, 51.225035805003245]",579634f9e4b086b281bf9366,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:19Z,579634f9e4b086b281bf935c,Point
kg/h,6.55132585961,l/h,2.78779823813,%,11.7220323906,%,8.00000023842,m,92.2378871112,deg,210.607625765,precision,1.10000003278,precision,2.20000006557,km/h,47.6487432115,precision,1.90000005662,kPa,22.4510918111,c,29.0,l/s,8.48071455692,ratio,1.01458346384,V,1.62813247793,u/min,2235.90346733,km/h,47.3957529068,%,6.52604699135,"[6.483475949526843, 51.22451776445382]",579634f9e4b086b281bf9367,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:24Z,579634f9e4b086b281bf935c,Point
kg/h,2.91093632394,l/h,1.23869630806,%,17.0929636479,%,8.0,m,92.4633826847,deg,211.884847436,precision,1.15762711763,precision,2.08644067645,km/h,37.4193871578,precision,1.68644067645,kPa,24.1257135868,c,30.0000008941,l/s,3.76821739381,ratio,0.00507930412277,V,3.9817126446,u/min,1228.58623868,km/h,29.684918344,%,4.0000000298,"[6.483006524572993, 51.22405486367365]",579634f9e4b086b281bf9368,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:29Z,579634f9e4b086b281bf935c,Point
kg/h,2.74236400245,l/h,1.1669634053,%,19.3352467403,%,12.0,m,91.4874959214,deg,212.83272495,precision,1.39999995828,precision,3.39999989867,km/h,13.9255429662,precision,3.09999990761,kPa,32.0,c,29.9999991059,l/s,3.54999992587,ratio,0.996365344421,V,1.46665426379,u/min,780.682095915,km/h,8.90571454167,%,4.0000000298,"[6.482780286347804, 51.22384139215873]",579634f9e4b086b281bf9369,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:34Z,579634f9e4b086b281bf935c,Point
kg/h,2.87782710794,l/h,1.22460727998,%,20.5916548734,%,11.9999998212,m,91.6301481008,deg,210.101086347,precision,1.37993979901,precision,3.2996990487,km/h,0.0,precision,2.99969905317,kPa,33.39453125,c,30.9999995381,l/s,3.72535739629,ratio,0.993059858913,V,1.46214183478,u/min,771.43135345,km/h,0.0,%,4.0000000596,"[6.482751456675614, 51.22381275181856]",579634f9e4b086b281bf936a,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:39Z,579634f9e4b086b281bf935c,Point
kg/h,3.14511895371,l/h,1.33834849094,%,21.8058963388,%,5.99999982119,m,91.6002977984,deg,210.101083216,precision,0.900000013411,precision,1.77985974699,km/h,0.0,precision,1.50000002235,kPa,36.0,c,31.000000231,l/s,4.07136763848,ratio,0.986712743615,V,1.43939331232,u/min,783.427217185,km/h,0.0,%,3.99999988079,"[6.482751360075088, 51.22381198852426]",579634f9e4b086b281bf936b,2004,2200,gasoline,5750591ee4b09078f98673d8,Opel,Vectra C Caravan,2012-01-01T00:07:44Z,579634f9e4b086b281bf935c,Point
